code,name,color,transparentColor
Con,Conservative,"rgb(0, 135, 220)","rgba(0, 135, 220, 0.3)"
Lab,Labour,"rgba(220, 36, 31, 1)","rgba(220, 36, 31, 0.3)"
LD,Liberal Democrat,"rgb(250,166,26)","rgba(250, 166, 26, 0.3)"
UKIP,UKIP,"rgb(112, 20, 122)","rgba(112, 20, 122, 0.3)"
GReen,Green,"rgb(120, 185, 67)","rgba(120, 185, 67, 0.3)"
Ind,Independent,"rgba(204, 204, 204, 1)","rgba(204, 204, 204, 0.3)"
PC,Plaid Cymru,"rgb(0,129,66)","rgba(0,129,66,0.3)"
DUP,Democratic Unionist Party,"rgb(212,106,76)","rgba(212,106,76,0.3)"
UUP,Ulster Unionist Party,"rgb(212,106,76)","rgba(212,106,76,0.3)"
SDLP,SDLP,"rgb(212,106,76)","rgba(212,106,76,0.3)"
SNP,Scottish National Party,"rgb(254,249,135)","rgba(254,249,135,0.3)"
SF,Sinn Féin,"rgb(50,103,96)","rgba(50,103,96,0.3)"
SPK,Speaker,"rgb(0,0,0)","rgba(0,0,0,0.3)"
Alliance,Alliance,"rgb(0,0,0)","rgba(0,0,0,0.3)"
